event,start_local,n_obs,base_ft,rise_ft_h,peak_ft,rise_to_peak_ft,total_rain_in
18,2025-12-24 16:40,6,2.41,0.627,5.29,2.88,1.15
28,2026-02-17 06:30,8,2.93,0.27,3.67,0.74,0.95
20,2025-12-26 13:50,9,2.45,0.355,3.44,0.99,0.35
19,2025-12-25 11:10,4,2.85,-0.047,3.13,0.28,0.66
2,2025-11-05 03:50,7,1.37,0.57,2.32,0.95,1.91
31,2026-02-24 17:00,5,1.89,0.28,2.31,0.42,0.34
40,2026-04-22 03:40,4,1.67,0.4,2.09,0.42,0.39
36,2026-04-10 03:40,5,1.41,0.327,1.9,0.49,0.46
11,2025-11-20 00:10,3,1.43,0.24,1.63,0.2,0.34
